Expert_ID,Q_ID,SPP_ID,Q5th,Q50th,Q95th
5,1A,33,700,780,800
6,1A,33,600,780,800
7,1A,33,650,750,850
8,1A,33,1150,1200,1250
9,1A,33,680,750,780
10,1A,33,600,780,800
11,1A,33,600,750,800
12,1A,33,650,780,800
13,1A,33,650,780,850
14,1A,33,700,800,1000
15,1A,33,500,780,1000
17,1A,33,650,750,800
1,1A,34,5,50,200
2,1A,34,1,10,20
3,1A,34,1000,1100,1800
4,1A,34,0,400,1000
5,1A,34,0,2,5
6,1A,34,0,100,1000
7,1A,34,0,5,100
8,1A,34,300,450,500
9,1A,34,100,200,300
10,1A,34,0,100,1000
11,1A,34,1,1,100
12,1A,34,0,50,125
13,1A,34,0,10,50
14,1A,34,0,0,0
16,1A,34,2,10,30
17,1A,34,3,5,20
3,1A,35,700,750,1030
4,1A,35,300,350,400
5,1A,35,700,760,900
6,1A,35,900,1000,1100
8,1A,35,900,1100,1200
9,1A,35,400,500,600
13,1A,35,700,800,900
1,1A,36,750,800,900
2,1A,36,700,750,800
3,1A,36,600,750,800
4,1A,36,700,750,800
5,1A,36,600,750,800
6,1A,36,600,760,850
7,1A,36,600,750,1000
8,1A,36,600,900,1000
9,1A,36,600,750,1040
10,1A,36,600,760,850
11,1A,36,600,750,800
12,1A,36,600,700,800
13,1A,36,600,760,1000
14,1A,36,650,750,780
16,1A,36,650,750,850
17,1A,36,600,700,800
4,1A,37,1000,1070,1100
6,1A,37,600,700,900
8,1A,37,1500,1600,1700
5,1B,1,0,5,20
7,1B,1,0,10,100
9,1B,1,0,100,200
11,1B,1,10,40,100
13,1B,1,0,10,20
17,1B,1,0,1,50
1,1B,2,1600,1700,1800
2,1B,2,1400,1500,1600
3,1B,2,550,580,607
4,1B,2,1820,1850,1900
5,1B,2,1300,1450,1500
6,1B,2,1200,1600,1700
7,1B,2,1300,1550,1650
8,1B,2,700,1000,1700
9,1B,2,1500,1650,1700
10,1B,2,1200,1400,1600
11,1B,2,1300,1450,1550
12,1B,2,1500,1700,1900
13,1B,2,1350,1400,1500
