Name,Family,Genus,Species,Common_name,Growth_form,Leaf_length_lower,Leaf_length_upper,Leaf Width Lower,Leaf Width Upper,Leaf_size_source,Leaf_area_mm2,Leaf_area_source,Perenniality,Perenniality_source,Mean_ht_mm,Ht_source,SLA_mm2mg1,SLA_source,Resprouter,Resprouting Source,Diaspore_mg,Diaspore_source,Dispersal_mode,Dispersal_mode_source,Log10_dispersal_dist_m,Disperal_dist_source,Range_extent_ID,Range_rource,Elevation_range,Elevation_Source,Raunkier,Raunkier_source,Pollination,Pollination_source
Prasophyllum alpestre,Orchidaceae,Prasophyllum,alpestre,Highland Leek-orchid,Forb,7.5,10,3,4.5,Flora of NSW (book or PlantNet),3073.8,C Pickering Main Range,Perennial,KM,137.1,C Pickering Main Range,13.1,C Pickering Main Range,Y,KM,0.97,LG,Wind,JM,1.046141059,JM SV,3,KM,3,KM,H,,Not Wind,JM
Prostanthera cuneata,Lamiaceae,Prostanthera,cuneata,Alpine Mint Bush,Shrub,4,5,3,3.5,Flora of NSW (book or PlantNet),1181.2,C Pickering Main Range,Perennial,KM,206.2,C Pickering Main Range,18.7,C Pickering Main Range,Y,KM,0.001,JM,Wind,JM,-0.276574133,JM SV,3,KM,3,KM,CR,,Not Wind,JM
Richea continentis,Epacridaceae,Richea,continentis,Candle Heath,Shrub,20,40,4,7,Flora of NSW (book or PlantNet),16.3,C Pickering Main Range,Perennial,KM,360.8,C Pickering Main Range,6.7,C Pickering Main Range,Y,KM,1.13,LG,None,JM,0.758990919,JM SV,3,KM,4,KM,P,,Not Wind,JM
Rytidosperma nudiflorum,Poaceae,Rytidosperma,nudiflorum,Alpine Wallaby-grass,Graminoid,,,,,,97.8,C Pickering Main Range,Perennial,KM,177.3,C Pickering Main Range,,C Pickering Main Range,N,KM,0.53,JM,None,JM,0.636488914,JM SV,3,KM,3,KM,P,,Not Wind,JM
Scleranthus biflorus,Caryophyllaceae,Scleranthus,biflorus,Twin-flower Knawel,Forb,4,8,,,Flora of NSW (book or PlantNet),,,Perennial,KM,,,,,Y,KM,1.28,JM,Wind,JM,-0.220511223,JM SV,5,KM,3,KM,H,,Wind,JM
Senecio gunnii,Asteraceae,Senecio,gunnii,Gunn's Groundsel,Forb,40,100,10,25,Flora of NSW (book or PlantNet),6.1,C Pickering Main Range,Perennial,KM,11.4,C Pickering Main Range,12.3,C Pickering Main Range,Y,KM,0.94,LG,None,JM,0.03385596,JM SV,5,KM,5,KM,C,,Not Wind,JM
Sphagnum cristatum,Sphagnaceae,Sphagnum,cristatum,,Moss,,,,,,563.3,C Pickering Main Range,,,278.3,C Pickering Main Range,25.6,C Pickering Main Range,Y,KM,0.28,JM,Wind,JM,1.125157293,JM SV,5,KM,4,KM,H,,Not Wind,JM
Stylidium montanum,Stylidiaceae,Stylidium,montanum,,Forb,,,,,,,,Perennial,KM,,,,,,,,,Wind,JM,,,5,KM,5,KM,C,,Wind,JM
Tasmannia xerophila,Winteraceae,Tasmannia,xerophila,Alpine Pepper,Shrub,10,60,5,15,Flora of NSW (book or PlantNet),110,C Pickering Main Range,Perennial,KM,58.5,C Pickering Main Range,10.2,C Pickering Main Range,Y,KM,0.12,JM,None,JM,-0.220511223,JM SV,3,KM,2,KM,H,,Not Wind,JM
Trisetum spicatum,Poaceae,Trisetum,spicatum,Bristle-grass,Graminoid,,2,,4,,503.1,C Pickering Main Range,Perennial,KM,40.88,C Pickering Main Range,7.99,C Pickering Main Range,Y,KM,2.43,LG,Animal,JM,2.809033944,JM SV,5,KM,4,KM,P,,Not Wind,JM
Viola betonicifolia,Violaceae,Viola,betonicifolia,Showy Violet,Forb,10,60,5,25,Flora of NSW (book or PlantNet),537.8,C Pickering Main Range,Perennial,KM,194.9,C Pickering Main Range,18.5,C Pickering Main Range,Y,KM,0.38,JM,Wind,JM,-0.220511223,JM SV,5,KM,3,KM,H,,Wind,JM
Wahlenbergia ceracea,Campanulaceae,Wahlenbergia,ceracea,Waxy Bluebell,Forb,5,50,1,10,Flora of NSW (book or PlantNet),177.1,C Pickering Main Range,Perennial,KM,31.3,C Pickering Main Range,17.2,C Pickering Main Range,Y,KM,1.32,JM,None,JM,-0.490669511,JM SV,5,KM,5,KM,H,,Not Wind,JM
,,,,,,,,,,,112.4,C Pickering Main Range,,,45.2,C Pickering Main Range,19.6,C Pickering Main Range,Y,KM,0.03,JM,None,JM,-0.276574133,JM SV,5,KM,4,KM,H,,Not Wind,JM
