Name,Family,Genus,Species,Common_name,Growth_form,Leaf_area_mm2,Leaf_area_source,Perenniality,Perenniality_source,Mean_ht_mm,Ht_source,SLA_mm2mg1,SLA_source,Resprouter,Resprouting Source,Diaspore_mg,Diaspore_source,Dispersal_mode,Dispersal_mode_source,Log10_dispersal_dist_m,Disperal_dist_source,Range_extent_ID,Range_rource,Elevation_range,Elevation_Source,Raunkier,Raunkier_source,Pollination,Pollination_source,Species name,Family,altitude_min,altitude_max,altitude_range,MAT_min,MAT_max,MAT_range,Extent,Area
Leucopogon montanus,Epacridaceae,Leucopogon,montanus,Snow Beard-heath,Shrub,11.8,C Pickering Main Range,Perennial,KM,317.8,C Pickering Main Range,8,C Pickering Main Range,Y,KM,9.38,LG,Animal,JM,2.630469028,JM SV,3,KM,3,KM,C,,Not Wind,JM,Acrothamnus montanus,Ericaceae,761,2081,1320,3.3,11.2,7.9,10208,1560
Luzula acutifolia,Cyperaceae,Luzula,acutifolia,Dwarf Woodrush,Graminoid,258,M Good Hotham,Perennial,KM,50,BHP,8.3,M Good Hotham,Y,KM,0.33,JM,None,JM,-0.625748654,JM SV,3,KM,1,KM,H,,Wind,JM,Luzula acutifolia,Juncaceae,1611,2129,518,3.3,6.1,2.8,3051,132
Montia australasica,Portulacaceae,Montia,australasica,,Forb,46.6,C Pickering Main Range,Perennial,KM,14.8,C Pickering Main Range,14.5,C Pickering Main Range,Y,KM,0.75,JM,Water,JM,-0.625748654,JM SV,5,KM,5,KM,H,,Not Wind,JM,Montia australasica,Portulacaceae,6,2109,2103,3.3,18.6,15.3,461812,1024
Olearia brevipedunculata,Asteraceae,Olearia,brevipedunculata,,Shrub,15.9,C Pickering Main Range,Perennial,KM,336.4,C Pickering Main Range,12,C Pickering Main Range,Y,KM,0.7,Kew,Wind,JM,1.890564058,JM SV,3,KM,3,KM,P,,Not Wind,JM,Olearia brevipedunculata,Asteraceae,1195,2081,886,3.7,8.3,4.6,8924,108
Oreobolus distichus,Cyperaceae,Oreobolus,distichus,Fan Tuft-rush,Graminoid,26.1,C Pickering Main Range,Perennial,KM,2.8,C Pickering Main Range,7.6,C Pickering Main Range,Y,KM,0.95,JM,None,JM,-0.534155282,JM SV,5,KM,4,KM,H,,Wind,JM,Oreobolus distichus,Cyperaceae,1192,2109,917,3.3,11.3,8,72489,324
Oreomyrrhis ciliata,Apiaceae,Oreomyrrhis,ciliata,Bog Caraway,Forb,210,C Pickering Main Range,Perennial,KM,68,C Pickering Main Range,10.7,C Pickering Main Range,Y,KM,1.7,LG,None,JM,-0.276574133,JM SV,5,KM,4,KM,H,,Not Wind,JM,Oreomyrrhis ciliata,Apiaceae,882,2002,1120,4.3,10.6,6.3,73843,244
Oreomyrrhis eriopoda,Apiaceae,Oreomyrrhis,eriopoda,Australian Caraway,Forb,834,C Pickering Main Range,Perennial,KM,87.2,C Pickering Main Range,9.5,C Pickering Main Range,Y,KM,4.7,LG,None,JM,-0.276574133,JM SV,5,KM,5,KM,H,,Not Wind,JM,Oreomyrrhis eriopoda,Apiaceae,182,2129,1947,3.3,15.9,12.6,318145,1000
Oreomyrrhis pulvinifica,Apiaceae,Oreomyrrhis,pulvinifica,Cushion Caraway,Forb,39.7,C Pickering Main Range,Perennial,KM,18.1,C Pickering Main Range,14.8,C Pickering Main Range,,,0.91,LG,None,JM,-0.490669511,JM SV,2,KM,1,KM,H,,Not Wind,JM,Oreomyrrhis pulvinifica,Apiaceae,1629,2129,500,3.3,5.8,2.5,3408,84
Orites lancifolia,Epacridaceae,Orites,lancifolia,Alpine Orites,Shrub,189.7,C Pickering Main Range,Perennial,KM,645.3,C Pickering Main Range,4.1,C Pickering Main Range,Y,KM,6.5,LG,Ballistic,JM,2.865096854,JM SV,3,KM,4,KM,C,,Not Wind,JM,Orites lancifolius,Proteaceae,1035,2081,1046,4,9.1,5.1,24483,336
Oxylobium ellipticum,Fabaceae,Oxylobium ,ellipticum,Common Shaggy Pea,Shrub,44.9,C Pickering Main Range,Perennial,KM,238.9,C Pickering Main Range,12.9,C Pickering Main Range,Y,KM,3.95,LG,Ballistic,JM,1.442987078,JM SV,5,KM,4,KM,P,,Not Wind,JM,Oxylobium ellipticum,Fabaceae,246,2081,1835,3.7,18.1,14.4,248531,912
Pentachondra pumilio,Epacridaceae,Pentachondra,pumilio,Carpet Heath,Shrub,7.5,C Pickering Main Range,Perennial,KM,44.5,C Pickering Main Range,8.9,C Pickering Main Range,,,1.17,LG,Animal,JM,2.281294507,JM SV,3,KM,2,KM,C,,Not Wind,JM,Pentachondra pumila,Ericaceae,1276,2129,853,3.3,8.1,4.8,8231,156
Picris angustifolius,Asteraceae,Picris,angustifolius,,Forb,800,,Perennial,,150,Estimate,20,Estimate,,,0.18,Kew,Wind,JM,1.181220203,JM SV,5,KM,5,KM,H,,Not Wind,JM,Picris angustifolia subsp. merxmuelleri,Asteraceae,251,2102,1851,4.5,15.5,11,154478,360
Pimelea axiflora,Thymeleaceae,Pimelea,axiflora,,Shrub,68.5,C Pickering Main Range,Perennial,KM,40.8,C Pickering Main Range,19.2,C Pickering Main Range,Y,KM,2.93,LG,None,JM,0.44534686,JM SV,3,KM,3,KM,P,,Not Wind,JM,Pimelea axiflora subsp. alpina,Thymelaeaceae,1100,2120,1020,3.8,9.6,5.8,9126,192
Pimelea ligustrina,Thymeleaceae,Pimelea,ligustrina,Kosciuszko Rose ,Shrub,231.2,C Pickering Main Range,Perennial,KM,466.2,C Pickering Main Range,13.3,C Pickering Main Range,Y,KM,2.17,LG,None,JM,0.679974685,JM SV,3,KM,3,KM,P,,Not Wind,JM,Pimelea ligustrina subsp. ciliata,,648,2081,1433,3.7,12.3,8.6,27707,324
Plantago muelleri,Plantaginaceae,Plantago,muelleri,Star Plantain,Forb,487.3,C Pickering Main Range,Perennial,KM,29.1,C Pickering Main Range,8.34,C Pickering Main Range,Y,KM,0.49,LG,None,JM,-0.804313569,JM SV,3,KM,2,KM,H,,Not Wind,JM,Plantago muelleri,Plantaginaceae,1421,2086,665,3.5,7,3.5,6280,100
Poa costiniana,Poaceae,Poa,costiniana,Prickly Snow-grass,Graminoid,386.3,M Good Hotham,Perennial,KM,124.8,C Pickering Main Range,5.17,M Good Hotham,Y,KM,0.26,JM,None,JM,-0.141494989,JM SV,5,KM,4,KM,H,,Wind,JM,Poa costiniana,Poaceae,406,2129,1723,3.3,13.6,10.3,150582,676
Poa fawcettiae,Poaceae,Poa,fawcettiae,Smooth-blue Snow-grass,Graminoid,550.9,M Good Hotham,Perennial,KM,158.9,C Pickering Main Range,15.23,M Good Hotham,Y,KM,0.36,JM,None,JM,-0.220511223,JM SV,5,KM,4,KM,H,,Wind,JM,Poa fawcettiae,Poaceae,308,2129,1821,3.3,13.6,10.3,68258,624
Poa hiemata,Poaceae,Poa,hiemata,Soft Snow-grass,Graminoid,26.6,P Vesk Falls Creek,Perennial,,57,C Pickering,343.9,P Vesk Falls Creek,Y,KM,0.35,JM,None,JM,-0.141494989,JM SV,3,KM,4,KM,H,,Wind,JM,Poa hiemata,Poaceae,784,2129,1345,3.3,11.5,8.2,39583,312
Podocarpus lawrencei,Podocarpaceae,Podocarpus,lawrencei,,Shrub,10.1,C Pickering Main Range,Perennial,KM,572.1,C Pickering Main Range,4.5,C Pickering Main Range,,,13.93,LG,Animal,JM,,,3,KM,4,KM,P,,Wind,JM,Podocarpus lawrencei,Podocarpaceae,570,2129,1559,3.3,13,9.7,46192,396
Podolepis robusta,Asteraceae,Podolepis,robusta,Alpine Podolepis,Forb,3073.8,C Pickering Main Range,Perennial,KM,137.1,C Pickering Main Range,13.1,C Pickering Main Range,Y,KM,0.97,LG,Wind,JM,1.046141059,JM SV,3,KM,3,KM,H,,Not Wind,JM,Podolepis robusta,Asteraceae,804,2081,1277,4,12.6,8.6,33709,432
Prasophyllum alpestre,Orchidaceae,Prasophyllum,alpestre,Highland Leek-orchid,Forb,1181.2,C Pickering Main Range,Perennial,KM,206.2,C Pickering Main Range,18.7,C Pickering Main Range,Y,KM,0.001,JM,Wind,JM,-0.276574133,JM SV,3,KM,3,KM,CR,,Not Wind,JM,Prasophyllum alpestre,Orchidaceae,883,2129,1246,3.3,10.2,6.9,34821,204
Prostanthera cuneata,Lamiaceae,Prostanthera,cuneata,Alpine Mint Bush,Shrub,16.3,C Pickering Main Range,Perennial,KM,360.8,C Pickering Main Range,6.7,C Pickering Main Range,Y,KM,1.13,LG,None,JM,0.758990919,JM SV,3,KM,4,KM,P,,Not Wind,JM,Prostanthera cuneata,Lamiaceae,321,2129,1808,3.3,12.2,8.9,26927,524
Richea continentis,Epacridaceae,Richea,continentis,Candle Heath,Shrub,97.8,C Pickering Main Range,Perennial,KM,177.3,C Pickering Main Range,,C Pickering Main Range,N,KM,0.53,JM,None,JM,0.636488914,JM SV,3,KM,3,KM,P,,Not Wind,JM,Richea continentis,Ericaceae,991,2129,1138,3.3,9.9,6.6,26551,476
Rytidosperma nudiflorum,Poaceae,Rytidosperma,nudiflorum,Alpine Wallaby-grass,Graminoid,,,Perennial,KM,,,,,Y,KM,1.28,JM,Wind,JM,-0.220511223,JM SV,5,KM,3,KM,H,,Wind,JM,Rytidosperma nudiflorum,Poaceae,320,2129,1809,3.3,13.5,10.2,103698,404
Scleranthus biflorus,Caryophyllaceae,Scleranthus,biflorus,Twin-flower Knawel,Forb,6.1,C Pickering Main Range,Perennial,KM,11.4,C Pickering Main Range,12.3,C Pickering Main Range,Y,KM,0.94,LG,None,JM,0.03385596,JM SV,5,KM,5,KM,C,,Not Wind,JM,Scleranthus biflorus,Caryophyllaceae,56,2081,2025,4,15.2,11.2,410495,584
Senecio gunnii,Asteraceae,Senecio,gunnii,Gunn's Groundsel,Forb,563.3,C Pickering Main Range,,,278.3,C Pickering Main Range,25.6,C Pickering Main Range,Y,KM,0.28,JM,Wind,JM,1.125157293,JM SV,5,KM,4,KM,H,,Not Wind,JM,Senecio gunnii,Asteraceae,448,2081,1633,3.7,13.2,9.5,38010,496
Sphagnum cristatum,Sphagnaceae,Sphagnum,cristatum,,Moss,,,Perennial,KM,,,,,,,,,Wind,JM,,,5,KM,5,KM,C,,Wind,JM,sphagnum,Sphagnaceae,,,,3.3,20.1,16.8,"389,816.833 km2 ",568
Stylidium montanum,Stylidiaceae,Stylidium,montanum,,Forb,110,C Pickering Main Range,Perennial,KM,58.5,C Pickering Main Range,10.2,C Pickering Main Range,Y,KM,0.12,JM,None,JM,-0.220511223,JM SV,3,KM,2,KM,H,,Not Wind,JM,Stylidium montanum,Stylidiaceae,733,2081,1348,4,12,8,21719,108
Tasmannia xerophila,Winteraceae,Tasmannia,xerophila,Alpine Pepper,Shrub,503.1,C Pickering Main Range,Perennial,KM,40.88,C Pickering Main Range,7.99,C Pickering Main Range,Y,KM,2.43,LG,Animal,JM,2.809033944,JM SV,5,KM,4,KM,P,,Not Wind,JM,Tasmannia xerophila,Winteraceae,614,2109,1495,3.7,12.8,9.1,19610,68
Trisetum spicatum,Poaceae,Trisetum,spicatum,Bristle-grass,Graminoid,537.8,C Pickering Main Range,Perennial,KM,194.9,C Pickering Main Range,18.5,C Pickering Main Range,Y,KM,0.38,JM,Wind,JM,-0.220511223,JM SV,5,KM,3,KM,H,,Wind,JM,Trisetum spicatum,Poaceae,1082,2129,1047,3.3,8.7,5.4,16942,352
Viola betonicifolia,Violaceae,Viola,betonicifolia,Showy Violet,Forb,177.1,C Pickering Main Range,Perennial,KM,31.3,C Pickering Main Range,17.2,C Pickering Main Range,Y,KM,1.32,JM,None,JM,-0.490669511,JM SV,5,KM,5,KM,H,,Not Wind,JM,Viola betonicifolia,Violaceae,4,2109,2105,3.3,19.6,16.3,600360,1676
Wahlenbergia ceracea,Campanulaceae,Wahlenbergia,ceracea,Waxy Bluebell,Forb,112.4,C Pickering Main Range,,,45.2,C Pickering Main Range,19.6,C Pickering Main Range,Y,KM,0.03,JM,None,JM,-0.276574133,JM SV,5,KM,4,KM,H,,Not Wind,JM,Wahlenbergia ceracea,Campanulaceae,683,2129,1446,3.3,14.5,11.2,148591,524
